DateTime,2022 Number of flights,2022 7-day moving average,2021 7-day moving average,2020 7-day moving average,2019 7-day moving average
1/1/2022,112178,143650,127803,164362,149020
1/2/2022,143753,143583,126909,165769,150190
1/3/2022,161499,144735,125859,165403,150656
1/4/2022,168913,147016,126436,164985,152503
1/5/2022,164358,148804,125693,166528,153786
1/6/2022,168443,151214,125084,168421,154813
1/7/2022,167800,155277,128658,171657,159253
1/8/2022,156230,161570,135225,176691,164227
1/9/2022,148810,162293,137174,178076,164910
1/10/2022,163573,162589,137578,179282,165342
1/11/2022,170750,162852,137183,177687,164902
1/12/2022,181070,165239,137420,176103,162738
1/13/2022,185403,167662,139210,174255,160881
1/14/2022,180672,169501,140793,172803,160437
1/15/2022,152297,168939,141322,173944,160372
1/16/2022,144571,168333,140200,174154,160499
1/17/2022,155855,167231,139005,174764,160367
1/18/2022,166452,166617,139296,175720,160519
1/19/2022,169845,165013,139108,176331,160513
1/20/2022,169055,162678,137810,178826,160648
1/21/2022,178918,162427,137051,181355,161363
1/22/2022,156639,163047,137710,180920,161700
1/23/2022,158033,164971,137609,181318,161184
1/24/2022,168443,166769,136173,181517,161087
1/25/2022,165606,166648,133990,181667,162615
1/26/2022,175538,167461,132588,181449,164356
1/27/2022,184883,169722,131495,179682,165209
1/28/2022,180749,169984,130368,177889,164826
1/29/2022,153674,169560,130109,177914,165117
1/30/2022,164940,170547,130679,177404,165860
1/31/2022,168218,170515,131315,176746,166126
2/1/2022,163738,170248,131203,175570,164925
2/2/2022,152315,166931,131082,174770,163326
2/3/2022,149649,161897,132717,175156,162422
2/4/2022,155219,158250,134380,174070,161727
2/5/2022,159841,159131,134359,172705,161055
2/6/2022,160883,158551,133578,170661,161015
2/7/2022,170108,158821,132443,170184,160779
2/8/2022,182198,161459,134083,172443,160979
2/9/2022,194573,167495,134288,171584,161532
2/10/2022,197247,174295,133187,168731,161768
2/11/2022,199407,180608,130451,167461,161966
2/12/2022,182400,183830,128074,167653,161995
2/13/2022,162754,184098,125713,168317,162374
2/14/2022,179105,185383,124552,169889,163891
2/15/2022,184160,185663,121057,169805,165128
2/16/2022,176757,183118,119406,170475,166799
2/17/2022,173543,179732,119893,172520,168702
2/18/2022,189274,178284,119870,174004,170981
2/19/2022,175553,177306,121228,175109,172502
2/20/2022,168820,178173,126565,176087,171559
2/21/2022,173769,177410,132317,176679,170675
2/22/2022,162481,174313,137021,177533,170006
2/23/2022,177769,174458,142640,178806,169804
